the  [ðə; ði]
attorney  [əˈtɜːrni]
score  [skɔːr]
account  [əˈkaʊnt]
interesting  [ˈɪntrəstɪŋ]
break  [breɪk]
audience  [ˈɔːdiəns]
rich  [rɪtʃ]
dinner  [ˈdɪnər]
figure  [ˈfɪɡjər]
vote  [voʊt]
western  [ˈwestərn]
relate  [rɪˈleɪt]
travel  [ˈtræv(ə)l]
debate  [dɪˈbeɪt]
prevent  [prɪˈvent]
citizen  [ˈsɪtɪzn]
majority  [məˈdʒɔːrəti]
none  [nʌn]
front  [frʌnt]
born  [bɔːrn]
admit  [ædˈmɪt]
senior  [ˈsiːniər]
assume  [əˈsuːm]
wind  [wɪnd]
key  [kiː]
professional  [prəˈfeʃən(ə)l]
mission  [ˈmɪʃ(ə)n]
fast  [fæst]
alone  [əˈloʊn]
customer  [ˈkʌstəmər]
suffer  [ˈsʌfər]
speech  [spiːtʃ]
successful  [səkˈsesf(ə)l]
option  [ˈɑːpʃ(ə)n]
participant  [pɑːrˈtɪsɪpənt]
southern  [ˈsʌðərn]
fresh  [freʃ]
eventually  [ɪˈventʃuəli]
no  [noʊ]
forest  [ˈfɔːrɪst]
video  [ˈvɪdioʊ]
global  [ˈɡloʊb(ə)l]
Senate  [ˈsenət]
reform  [rɪˈfɔːrm]
access  [ˈækses]
restaurant  [ˈrestrɑːnt]
judge  [dʒʌdʒ]
publish  [ˈpʌblɪʃ]
cost  [kɔːst]
relation  [rɪˈleɪʃn]
like  [laɪk]
release  [rɪˈliːs]
own  [oʊn]
bird  [bɜːrd]
opinion  [əˈpɪnjən]
credit  [ˈkredɪt]
critical  [ˈkrɪtɪk(ə)l]
corner  [ˈkɔːrnər]
concerned  [kənˈsɜːrnd]
recall  [rɪˈkɔːl]
version  [ˈvɜːrʒ(ə)n]
stare  [ster]
safety  [ˈseɪfti]
effective  [ɪˈfektɪv]
neighborhood  [ˈneɪbərhʊd]
original  [əˈrɪdʒən(ə)l]
act  [ækt]
troop  [truːp]
income  [ˈɪnkʌm]
directly  [dəˈrektli; daɪˈrektli]
hurt  [hɜːrt]
species  [ˈspiːʃiːz]
immediately  [ɪˈmiːdiətli]
track  [træk]
basic  [ˈbeɪsɪk]
strike  [straɪk]
hope  [hoʊp]
sky  [skaɪ]
freedom  [ˈfriːdəm]
absolutely  [ˌæbsəˈluːtli]
plane  [pleɪn]
nobody  [ˈnoʊbɑːdi]
achieve  [əˈtʃiːv]
object  [ˈɑːbdʒekt]
attitude  [ˈætɪtuːd]
labor  [ˈleɪbər]
refer  [rɪˈfɜːr]
concept  [ˈkɑːnsept]
client  [ˈklaɪənt]
powerful  [ˈpaʊərf(ə)l]
perfect  [ˈpɜːrfɪkt]
nine  [naɪn]
therefore  [ˈðerfɔːr]
conduct  [kənˈdʌkt]
announce  [əˈnaʊns]
conversation  [ˌkɑːnvərˈseɪʃ(ə)n]
examine  [ɪɡˈzæmɪn]
touch  [tʌtʃ]
please  [pliːz]
attend  [əˈtend]
completely  [kəmˈpliːtli]
vote  [voʊt]
variety  [vəˈraɪəti]
sleep  [sliːp]
turn  [tɜːrn]
involved  [ɪnˈvɑːlvd]
investigation  [ɪnˌvestɪˈɡeɪʃ(ə)n]
nuclear  [ˈnuːkliər]
researcher  [ˈriːsɜːrtʃərˌrɪˈsɜːrtʃər]
press  [pres]
conflict  [ˈkɑːnflɪkt]
spirit  [ˈspɪrɪt]
experience  [ɪkˈspɪriəns]
replace  [rɪˈpleɪs]
British  [ˈbrɪtɪʃ]
encourage  [ɪnˈkɜːrɪdʒ]
argument  [ˈɑːrɡjumənt]
by  [baɪ]
once  [wʌns]
camp  [kæmp]
brain  [breɪn]
feature  [ˈfiːtʃər]
afternoon  [ˌæftərˈnuːn]
AM  [ˌeɪ ˈem]
weekend  [ˈwiːkend]
dozen  [ˈdʌz(ə)n]
possibility  [ˌpɑːsəˈbɪləti]
along  [əˈlɔːŋ]
insurance  [ɪnˈʃʊrəns]
department  [dɪˈpɑːrtmənt]
battle  [ˈbæt(ə)l]
beginning  [bɪˈɡɪnɪŋ]
date  [deɪt]
generally  [ˈdʒen(ə)rəli]
African  [ˈæfrɪkən]
very  [ˈveri]
sorry  [ˈsɑːri]
crisis  [ˈkraɪsɪs]
complete  [kəmˈpliːt]
fan  [fæn]
stick  [stɪk]
define  [dɪˈfaɪn]
easily  [ˈiːzəli]
through  [θruː]
hole  [hoʊl]
element  [ˈelɪmənt]
vision  [ˈvɪʒ(ə)n]
status  [ˈsteɪtəs]
normal  [ˈnɔːrm(ə)l]
Chinese  [ˌtʃaɪˈniːz]
ship  [ʃɪp]
solution  [səˈluːʃ(ə)n]
stone  [stoʊn]
slowly  [ˈsloʊli]
scale  [skeɪl]
bit  [bɪt]
university  [ˌjuːnɪˈvɜːrsəti]
introduce  [ˌɪntrəˈduːs]
driver  [ˈdraɪvər]
attempt  [əˈtempt]
park  [pɑːrk]
spot  [spɑːt]
lack  [læk]
ice  [aɪs]
boat  [boʊt]
drink  [drɪŋk]
sun  [sʌn]
front  [frʌnt]
distance  [ˈdɪstəns]
wood  [wʊd]
handle  [ˈhænd(ə)l]
truck  [trʌk]
return  [rɪˈtɜːrn]
mountain  [ˈmaʊnt(ə)n]
survey  [ˈsɜːrveɪ]
supposed  [səˈpoʊzd; səˈpoʊzɪd]
tradition  [trəˈdɪʃ(ə)n]
winter  [ˈwɪntər]
village  [ˈvɪlɪdʒ]
Soviet  [ˈsoʊviet]
refuse  [rɪˈfjuːz]
sales  [ˈseɪlz]
roll  [roʊl]
communication  [kəˌmjuːnɪˈkeɪʃn]
run  [rʌn]
screen  [skriːn]
gain  [ɡeɪn]
resident  [ˈrezɪdənt]
hide  [haɪd]
gold  [ɡoʊld]
club  [klʌb]
future  [ˈfjuːtʃər]
farm  [fɑːrm]
potential  [pəˈtenʃ(ə)l]
increase  [ɪnˈkriːs]
middle  [ˈmɪd(ə)l]
European  [ˌjʊrəˈpiːən]
presence  [ˈprez(ə)ns]
independent  [ˌɪndɪˈpendənt]
district  [ˈdɪstrɪkt]
shape  [ʃeɪp]
reader  [ˈriːdər]
Ms  [mɪz]
contract  [ˈkɑːntrækt]
crowd  [kraʊd]
Christian  ['krɪstʃən]
express  [ɪkˈspres]
apartment  [əˈpɑːrtmənt]
willing  [ˈwɪlɪŋ]
strength  [streŋθ]
previous  [ˈpriːviəs]
band  [bænd]
obviously  [ˈɑːbviəsli]
horse  [hɔːrs]
interested  [ˈɪntrəstɪd]
target  [ˈtɑːrɡɪt]
prison  [ˈprɪzn]
ride  [raɪd]
guard  [ɡɑːrd]
terms  [tɜːrmz]
demand  [dɪˈmænd]
reporter  [rɪˈpɔːrtər]
deliver  [dɪˈlɪvər]
text  [tekst]
share  [ʃer]
tool  [tuːl]
wild  [waɪld]
vehicle  [ˈviːək(ə)l]
observe  [əbˈzɜːrv]
flight  [flaɪt]
inside  [ˌɪnˈsaɪd]
facility  [fəˈsɪləti]
understanding  [ˌʌndərˈstændɪŋ]
average  [ˈævərɪdʒ]
emerge  [ɪˈmɜːrdʒ]
advantage  [ədˈvæntɪdʒ]
quick  [kwɪk]
light  [laɪt]
leadership  [ˈliːdərʃɪp]
earn  [ɜːrn]
pound  [paʊnd]
basis  [ˈbeɪsɪs]
bright  [braɪt]
operate  [ˈɑːpəreɪt]
guest  [ɡest]
sample  [ˈsæmp(ə)l]
contribute  [kənˈtrɪbjuːt]
tiny  [ˈtaɪni]
block  [blɑːk]
protection  [prəˈtekʃn]
settle  [ˈset(ə)l]
feed  [fiːd]
collect  [kəˈlekt]
additional  [əˈdɪʃən(ə)l]
while  [waɪl]
highly  [ˈhaɪli]
identity  [aɪˈdentəti]
title  [ˈtaɪt(ə)l]
mostly  [ˈmoʊstli]
lesson  [ˈles(ə)n]
faith  [feɪθ]
river  [ˈrɪvər]
promote  [prəˈmoʊt]
living  [ˈlɪvɪŋ]
present  [ˈprez(ə)nt]
count  [kaʊnt]
unless  [ənˈles]
marry  [ˈmæri]
tomorrow  [təˈmɑːroʊ]
technique  [tekˈniːk]
path  [pæθ]
ear  [ɪr]
shop  [ʃɑːp]
folk  [foʊk]
order  [ˈɔːrdər]
principle  [ˈprɪnsəp(ə)l]
survive  [sərˈvaɪv]
lift  [lɪft]
border  [ˈbɔːrdər]
competition  [ˌkɑːmpəˈtɪʃ(ə)n]
jump  [dʒʌmp]
gather  [ˈɡæðər]
limit  [ˈlɪmɪt]
fit  [fɪt]
claim  [kleɪm]
cry  [kraɪ]
equipment  [ɪˈkwɪpmənt]
worth  [wɜːrθ]
associate  [əˈsoʊsieɪt]
critic  [ˈkrɪtɪk]
warm  [wɔːrm]
aspect  [ˈæspekt]
result  [rɪˈzʌlt]
insist  [ɪnˈsɪst]
failure  [ˈfeɪljər]
annual  [ˈænjuəl]
French  [frentʃ]
Christmas  [ˈkrɪsməs]
comment  [ˈkɑːment]
responsible  [rɪˈspɑːnsəb(ə)l]
affair  [əˈfer]
approach  [əˈproʊtʃ]
until  [ʌnˈtɪl]
procedure  [prəˈsiːdʒər]
regular  [ˈreɡjələr]
spread  [spred]
chairman  [ˈtʃermən]
baseball  [ˈbeɪsbɔːl]
soft  [sɔːft]
ignore  [ɪɡˈnɔːr]
egg  [eɡ]
measure  [ˈmeʒər]
belief  [bɪˈliːf]
demonstrate  [ˈdemənstreɪt]
anybody  [ˈenibɑːdi]
murder  [ˈmɜːrdər]
gift  [ɡɪft]
religion  [rɪˈlɪdʒən]
review  [rɪˈvjuː]
editor  [ˈedɪtər]
past  [pæst]
engage  [ɪnˈɡeɪdʒ]
coffee  [ˈkɔːfi]
document  [ˈdɑːkjumənt]
speed  [spiːd]
cross  [krɔːs]
influence  [ˈɪnfluəns]
anyway  [ˈeniweɪ]
threaten  [ˈθret(ə)n]
commit  [kəˈmɪt]
female  [ˈfiːmeɪl]
youth  [juːθ]
wave  [weɪv]
move  [muːv]
afraid  [əˈfreɪd]
quarter  [ˈkwɔːrtər]
background  [ˈbækɡraʊnd]
native  [ˈneɪtɪv]
broad  [brɔːd]
wonderful  [ˈwʌndərf(ə)l]
deny  [dɪˈnaɪ]
apparently  [əˈpærəntli]
slightly  [ˈslaɪtli]
reaction  [riˈækʃ(ə)n]
twice  [twaɪs]
suit  [suːt]
perspective  [pərˈspektɪv]
growing  [ˈɡroʊɪŋ]
blow  [bloʊ]
construction  [kənˈstrʌkʃ(ə)n]
kind  [kaɪnd]
intelligence  [ɪnˈtelɪdʒəns]
destroy  [dɪˈstrɔɪ]
cook  [kʊk]
connection  [kəˈnekʃ(ə)n]
charge  [tʃɑːrdʒ]
burn  [bɜːrn]
shoe  [ʃuː]
view  [vjuː]
grade  [ɡreɪd]
context  [ˈkɑːntekst]
committee  [kəˈmɪti]
hey  [heɪ]
mistake  [mɪˈsteɪk]
focus  [ˈfoʊkəs]
smile  [smaɪl]
location  [loʊˈkeɪʃ(ə)n]
clothes  [kloʊðz]
Indian  [ˈɪndiən]
quiet  [ˈkwaɪət]
dress  [dres]
promise  [ˈprɑːmɪs]
aware  [əˈwer]
neighbor  [ˈneɪbər]
complete  [kəmˈpliːt]
drive  [draɪv]
function  [ˈfʌŋkʃ(ə)n]
bone  [boʊn]
active  [ˈæktɪv]
extend  [ɪkˈstend]
chief  [tʃiːf]
average  [ˈævərɪdʒ]
combine  [kəmˈbaɪn]
wine  [waɪn]
below  [bɪˈloʊ]
cool  [kuːl]
voter  [ˈvoʊtər]
mean  [miːn]
demand  [dɪˈmænd]
learning  [ˈlɜːrnɪŋ]
bus  [bʌs]
hell  [hel]
dangerous  [ˈdeɪndʒərəs]
remind  [rɪˈmaɪnd]
moral  [ˈmɔːrəl]
United  [juˈnaɪtɪd]
category  [ˈkætəɡɔːri]
relatively  [ˈrelətɪvli]
victory  [ˈvɪktəri]
key  [kiː]
academic  [ˌækəˈdemɪk]
visit  [ˈvɪzɪt]
Internet  [ˈɪntərnet]
healthy  [ˈhelθi]
fire  [ˈfaɪər]
negative  [ˈneɡətɪv]
following  [ˈfɑːloʊɪŋ]
historical  [hɪˈstɔːrɪk(ə)l]
medicine  [ˈmedɪs(ə)n]
tour  [tʊr]
depend  [dɪˈpend]
photo  [ˈfoʊtoʊ]
finding  [ˈfaɪndɪŋ]
grab  [ɡræb]
direct  [dəˈrekt]
classroom  [ˈklæsruːm]
contact  [ˈkɑːntækt]
justice  [ˈdʒʌstɪs]
participate  [pɑːrˈtɪsɪpeɪt]
daily  [ˈdeɪli]
fair  [fer]
pair  [per]
famous  [ˈfeɪməs]
exercise  [ˈeksərsaɪz]
knee  [niː]
flower  [ˈflaʊər]
tape  [teɪp]
hire  [ˈhaɪər]
familiar  [fəˈmɪliər]
appropriate  [əˈproʊpriət]
supply  [səˈplaɪ]
fully  [ˈfʊli]
cut  [kʌt]
will  [wɪl]
actor  [ˈæktər]
birth  [bɜːrθ]
search  [sɜːrtʃ]
tie  [taɪ]
democracy  [dɪˈmɑːkrəsi]
eastern  [ˈiːstərn]
primary  [ˈpraɪmeri]
yesterday  [ˈjestərdeɪ]
circle  [ˈsɜːrk(ə)l]
device  [dɪˈvaɪs]
progress  [ˈprɑːɡres]
next  [nekst]
front  [frʌnt]
bottom  [ˈbɑːtəm]
island  [ˈaɪlənd]
exchange  [ɪksˈtʃeɪndʒ]
clean  [kliːn]
studio  [ˈstuːdioʊ]
train  [treɪn]
lady  [ˈleɪdi]
colleague  [ˈkɑːliːɡ]
application  [ˌæplɪˈkeɪʃ(ə)n]
neck  [nek]
lean  [liːn]
damage  [ˈdæmɪdʒ]
plastic  [ˈplæstɪk]
tall  [tɔːl]
plate  [pleɪt]
hate  [heɪt]
otherwise  [ˈʌðərwaɪz]
writing  [ˈraɪtɪŋ]
press  [pres]
male  [meɪl]
start  [stɑːrt]
alive  [əˈlaɪv]
expression  [ɪkˈspreʃ(ə)n]
football  [ˈfʊtbɔːl]
intend  [ɪnˈtend]
attack  [əˈtæk]
chicken  [ˈtʃɪkɪn]
army  [ˈɑːrmi]
abuse  [əˈbjuːs]
theater  [ˈθiːətər]
shut  [ʃʌt]
map  [mæp]
extra  [ˈekstrə]
session  [ˈseʃ(ə)n]
danger  [ˈdeɪndʒər]
welcome  [ˈwelkəm]
domestic  [dəˈmestɪk]
lots  [lɑːts]
literature  [ˈlɪtərətʃər]
rain  [reɪn]
desire  [dɪˈzaɪər]
assessment  [əˈsesmənt]
injury  [ˈɪndʒəri]
respect  [rɪˈspekt]
northern  [ˈnɔːrðərn]
nod  [nɑːd]
paint  [peɪnt]
fuel  [ˈfjuːəl]
leaf  [liːf]
direct  [dəˈrekt]
dry  [draɪ]
Russian  [ˈrʌʃ(ə)n]
instruction  [ɪnˈstrʌkʃ(ə)n]
fight  [faɪt]
pool  [puːl]
climb  [klaɪm]
sweet  [swiːt]
lead  [liːd]
engine  [ˈendʒɪn]
fourth  [fɔːrθ]
salt  [sɔːlt]
expand  [ɪkˈspænd]
importance  [ɪmˈpɔːrt(ə)ns]
metal  [ˈmet(ə)l]
fat  [fæt]
ticket  [ˈtɪkɪt]
software  [ˈsɔːftwer]
disappear  [ˌdɪsəˈpɪr]
corporate  [ˈkɔːrpərət]
strange  [streɪndʒ]
lip  [lɪp]
reading  [ˈriːdɪŋ]
urban  [ˈɜːrbən]
mental  [ˈment(ə)l]
increasingly  [ɪnˈkriːsɪŋli]
lunch  [lʌntʃ]
educational  [ˌedʒuˈkeɪʃən(ə)l]
somewhere  [ˈsʌmwer]
farmer  [ˈfɑːrmər]
above  [əˈbʌv]
sugar  [ˈʃʊɡər]
planet  [ˈplænɪt]
favorite  [ˈfeɪvərɪt]
explore  [ɪkˈsplɔːr]
obtain  [əbˈteɪn]
enemy  [ˈenəmi]
greatest  [ˈɡretɪst]
complex  [kəmˈpleks]
surround  [səˈraʊnd]
athlete  [ˈæθliːt]
invite  [ɪnˈvaɪt]
repeat  [rɪˈpiːt]
carefully  [ˈkerfəli]
soul  [soʊl]
scientific  [ˌsaɪənˈtɪfɪk]
impossible  [ɪmˈpɑːsəb(ə)l]
panel  [ˈpæn(ə)l]
meaning  [ˈmiːnɪŋ]
mom  [mɑːm]
married  [ˈmærid]
alone  [əˈloʊn]
instrument  [ˈɪnstrəmənt]
predict  [prɪˈdɪkt]
weather  [ˈweðər]
presidential  [ˌprezɪˈdenʃl]
emotional  [ɪˈmoʊʃən(ə)l]
commitment  [kəˈmɪtmənt]
Supreme  [suˈpriːm]
bear  [ber]
pocket  [ˈpɑːkɪt]
thin  [θɪn]
temperature  [ˈtemprətʃər]
surprise  [sərˈpraɪz]
poll  [poʊl]
proposal  [prəˈpoʊz(ə)l]
consequence  [ˈkɑːnsɪkwens]
half  [hæf]
breath  [breθ]
sight  [saɪt]
cover  [ˈkʌvər]
balance  [ˈbæləns]
adopt  [əˈdɑːpt]
minority  [maɪˈnɔːrəti]
straight  [streɪt]
attempt  [əˈtempt]
connect  [kəˈnekt]
works  [wɜːrks]
teaching  [ˈtiːtʃɪŋ]
belong  [bɪˈlɔːŋ]
aid  [eɪd]
advice  [ədˈvaɪs]
okay  [oʊˈkeɪ]
photograph  [ˈfoʊtəɡræf]
empty  [ˈempti]
regional  [ˈriːdʒən(ə)l]
trail  [treɪl]
novel  [ˈnɑːv(ə)l]
code  [koʊd]
somehow  [ˈsʌmhaʊ]
organize  [ˈɔːrɡənaɪz]
jury  [ˈdʒʊri]
breast  [brest]
Iraqi  [ɪˈrɑːkiˌɪˈræki]
human  [ˈhjuːmən]
acknowledge  [əkˈnɑːlɪdʒ]
theme  [θiːm]
storm  [stɔːrm]
union  [ˈjuːniən]
record  [ˈrekərd]
desk  [desk]
fear  [fɪr]
thanks  [θæŋks]
fruit  [fruːt]
under  [ˈʌndər]
expensive  [ɪkˈspensɪv]
yellow  [ˈjeloʊ]
conclusion  [kənˈkluːʒ(ə)n]
prime  [praɪm]
shadow  [ˈʃædoʊ]
struggle  [ˈstrʌɡ(ə)l]
conclude  [kənˈkluːd]
analyst  [ˈænəlɪst]
dance  [dæns]
limit  [ˈlɪmɪt]
like  [laɪk]
regulation  [ˌreɡjuˈleɪʃn]
being  [ˈbiːɪŋ]
last  [læst]
ring  [rɪŋ]
largely  [ˈlɑːrdʒli]
shift  [ʃɪft]
revenue  [ˈrevənuː]
mark  [mɑːrk]
locate  [ˈloʊkeɪt]
county  [ˈkaʊnti]
appearance  [əˈpɪrəns]
package  [ˈpækɪdʒ]
difficulty  [ˈdɪfɪkəlti]
bridge  [brɪdʒ]
recommend  [ˌrekəˈmend]
obvious  [ˈɑːbviəs]
train  [treɪn]
basically  [ˈbeɪsɪkli]
e-mail  [ˈiː meɪl]
generate  [ˈdʒenəreɪt]
anymore  [ˌeniˈmɔːr]
propose  [prəˈpoʊz]
thinking  [ˈθɪŋkɪŋ]
possibly  [ˈpɑːsəbli]
trend  [trend]
visitor  [ˈvɪzɪtər]
loan  [loʊn]
currently  [ˈkɜːrəntli]
comfortable  [ˈkʌmftəbl; ˈkʌmfərtəbl]
investor  [ɪnˈvestər]
but  [bʌt; bət]
profit  [ˈprɑːfɪt]
angry  [ˈæŋɡri]
crew  [kruː]
deep  [diːp]
accident  [ˈæksɪdənt]
male  [meɪl]
meal  [miːl]
hearing  [ˈhɪrɪŋ]
traffic  [ˈtræfɪk]
muscle  [ˈmʌs(ə)l]
notion  [ˈnoʊʃ(ə)n]
capture  [ˈkæptʃər]
prefer  [prɪˈfɜːr]
truly  [ˈtruːli]
earth  [ɜːrθ]
Japanese  [ˌdʒæpəˈniːz]
chest  [tʃest]
search  [sɜːrtʃ]
thick  [θɪk]
cash  [kæʃ]
museum  [mjuˈziːəm]
beauty  [ˈbjuːti]
emergency  [ɪˈmɜːrdʒənsi]
unique  [juˈniːk]
feature  [ˈfiːtʃər]
internal  [ɪnˈtɜːrn(ə)l]
ethnic  [ˈeθnɪk]
link  [lɪŋk]
stress  [stres]
content  [ˈkɑːntent]
select  [sɪˈlekt]
root  [ruːt]
nose  [noʊz]
declare  [dɪˈkler]
outside  [ˌaʊtˈsaɪd]
appreciate  [əˈpriːʃieɪt]
actual  [ˈæktʃuəl]
bottle  [ˈbɑːt(ə)l]
hardly  [ˈhɑːrdli]
setting  [ˈsetɪŋ]
launch  [lɔːntʃ]
dress  [dres]
file  [faɪl]
sick  [sɪk]
outcome  [ˈaʊtkʌm]
ad  [æd]
defend  [dɪˈfend]
matter  [ˈmætər]
judge  [dʒʌdʒ]
duty  [ˈduːti]
sheet  [ʃiːt]
ought  [ɔːt]
ensure  [ɪnˈʃʊr]
Catholic  [ˈkæθlɪk]
extremely  [ɪkˈstriːmli]
extent  [ɪkˈstent]
component  [kəmˈpoʊnənt]
mix  [mɪks]
long-term  [ˌlɔːŋ ˈtɜːrm]
slow  [sloʊ]
contrast  [ˈkɑːntræst]
zone  [zoʊn]
wake  [weɪk]
challenge  [ˈtʃælɪndʒ]
airport  [ˈerpɔːrt]
chief  [tʃiːf]
brown  [braʊn]
standard  [ˈstændərd]
shirt  [ʃɜːrt]
pilot  [ˈpaɪlət]
warn  [wɔːrn]
ultimately  [ˈʌltɪmətli]
cat  [kæt]
contribution  [ˌkɑːntrɪˈbjuːʃ(ə)n]
capacity  [kəˈpæsəti]
ourselves  [ɑːrˈselvz]
estate  [ɪˈsteɪt]
guide  [ɡaɪd]
circumstance  [ˈsɜːrkəmstæns]
snow  [snoʊ]
English  [ˈɪŋɡlɪʃ]
politician  [ˌpɑːləˈtɪʃ(ə)n]
steal  [stiːl]
pursue  [pərˈsuː]
slip  [slɪp]
percentage  [pərˈsentɪdʒ]
meat  [miːt]
funny  [ˈfʌni]
neither  [ˈniːðər]
soil  [sɔɪl]
influence  [ˈɪnfluəns]
surgery  [ˈsɜːrdʒəri]
correct  [kəˈrekt]
Jewish  [ˈdʒuːɪʃ]
blame  [bleɪm]
estimate  [ˈestɪmət]
due  [duː]
basketball  [ˈbæskɪtbɔːl]
late  [leɪt]
golf  [ɡɑːlf]
investigate  [ɪnˈvestɪɡeɪt]
crazy  [ˈkreɪzi]
significantly  [sɪɡˈnɪfɪkəntli]
chain  [tʃeɪn]
address  [əˈdres]
branch  [bræntʃ]
combination  [ˌkɑːmbɪˈneɪʃ(ə)n]
just  [dʒʌst]
frequently  [ˈfriːkwəntli]
governor  [ˈɡʌvərnər]
relief  [rɪˈliːf]
user  [ˈjuːzər]
dad  [dæd]
kick  [kɪk]
part  [pɑːrt]
manner  [ˈmænər]
ancient  [ˈeɪnʃənt]
silence  [ˈsaɪləns]
rating  [ˈreɪtɪŋ]
golden  [ˈɡoʊldən]
motion  [ˈmoʊʃ(ə)n]
German  [ˈdʒɜːrmən]
gender  [ˈdʒendər]
solve  [sɑːlv]
fee  [fiː]
landscape  [ˈlændskeɪp]
used  [juːst]
bowl  [boʊl]
equal  [ˈiːkwəl]
long  [lɔːŋ]
official  [əˈfɪʃ(ə)l]
forth  [fɔːrθ]
frame  [freɪm]
typical  [ˈtɪpɪk(ə)l]
except  [ɪkˈsept]
conservative  [kənˈsɜːrvətɪv]
eliminate  [ɪˈlɪmɪneɪt]
host  [hoʊst]
hall  [hɔːl]
trust  [trʌst]
ocean  [ˈoʊʃ(ə)n]
score  [skɔːr]
row  [roʊ]
producer  [prəˈduːsər]
afford  [əˈfɔːrd]
meanwhile  [ˈmiːnwaɪl]
regime  [reɪˈʒiːm]
division  [dɪˈvɪʒ(ə)n]
confirm  [kənˈfɜːrm]
fix  [fɪks]
appeal  [əˈpiːl]
mirror  [ˈmɪrər]
tooth  [tuːθ]
smart  [smɑːrt]
length  [leŋθ]
entirely  [ɪnˈtaɪərli]
rely  [rɪˈlaɪ]
topic  [ˈtɑːpɪk]
complain  [kəmˈpleɪn]
issue  [ˈɪʃuː]
variable  [ˈveriəb(ə)l]
back  [bæk]
range  [reɪndʒ]
telephone  [ˈtelɪfoʊn]
perception  [pərˈsepʃ(ə)n]
attract  [əˈtrækt]
confidence  [ˈkɑːnfɪdəns]
bedroom  [ˈbedruːm; ˈbedrʊm]
secret  [ˈsiːkrət]
debt  [det]
rare  [rer]
his  [hɪz; ɪz]
tank  [tæŋk]
nurse  [nɜːrs]
coverage  [ˈkʌvərɪdʒ]
opposition  [ˌɑːpəˈzɪʃ(ə)n]
aside  [əˈsaɪd]
anywhere  [ˈeniwer]
bond  [bɑːnd]
file  [faɪl]
pleasure  [ˈpleʒər]
master  [ˈmæstər]
era  [ˈɪrə]
requirement  [rɪˈkwaɪərmənt]
check  [tʃek]
stand  [stænd]
fun  [fʌn]
expectation  [ˌekspekˈteɪʃn]
wing  [wɪŋ]
separate  [ˈseprət]
now  [naʊ]
clear  [klɪr]
struggle  [ˈstrʌɡ(ə)l]
mean  [miːn]
somewhat  [ˈsʌmwʌt]
pour  [pɔːr]
stir  [stɜːr]
judgment  [ˈdʒʌdʒmənt]
clean  [kliːn]
except  [ɪkˈsept]
beer  [bɪr]
English  [ˈɪŋɡlɪʃ]
reference  [ˈrefrəns]
tear  [ter]
doubt  [daʊt]
grant  [ɡrænt]
seriously  [ˈsɪriəsli]
account  [əˈkaʊnt]
minister  [ˈmɪnɪstər]
totally  [ˈtoʊtəli]
hero  [ˈhɪroʊ]
industrial  [ɪnˈdʌstriəl]
cloud  [klaʊd]
stretch  [stretʃ]
winner  [ˈwɪnər]
volume  [ˈvɑːljəm]
travel  [ˈtræv(ə)l]
seed  [siːd]
surprised  [sərˈpraɪzd]
rest  [rest]
fashion  [ˈfæʃ(ə)n]
pepper  [ˈpepər]
separate  [ˈseprət]
busy  [ˈbɪzi]
intervention  [ˌɪntərˈvenʃ(ə)n]
copy  [ˈkɑːpi]
tip  [tɪp]
below  [bɪˈloʊ]
cheap  [tʃiːp]
aim  [eɪm]
cite  [saɪt]
welfare  [ˈwelfer]
vegetable  [ˈvedʒtəb(ə)l]
gray  [ɡreɪ]
dish  [dɪʃ]
beach  [biːtʃ]
improvement  [ɪmˈpruːvmənt]
everywhere  [ˈevriwer]
opening  [ˈoʊpənɪŋ]
overall  [ˌoʊvərˈɔːl]
divide  [dɪˈvaɪd]
initial  [ɪˈnɪʃ(ə)l]
terrible  [ˈterəb(ə)l]
oppose  [əˈpoʊz]
contemporary  [kənˈtempəreri]
route  [ruːt]
multiple  [ˈmʌltɪp(ə)l]
essential  [ɪˈsenʃ(ə)l]
question  [ˈkwestʃən]
league  [liːɡ]
criminal  [ˈkrɪmɪn(ə)l]
careful  [ˈkerf(ə)l]
core  [kɔːr]
upper  [ˈʌpər]
rush  [rʌʃ]
necessarily  [ˌnesəˈserəli]
specifically  [spəˈsɪfɪkli]
tired  [ˈtaɪərd]
rise  [raɪz]
tie  [taɪ]
employ  [ɪmˈplɔɪ]
holiday  [ˈhɑːlədeɪ]
dance  [dæns]
vast  [væst]
resolution  [ˌrezəˈluːʃ(ə)n]
household  [ˈhaʊshoʊld]
fewer  [fjuːər]
abortion  [əˈbɔːrʃ(ə)n]
apart  [əˈpɑːrt]
witness  [ˈwɪtnəs]
match  [mætʃ]
barely  [ˈberli]
sector  [ˈsektər]
representative  [ˌreprɪˈzentətɪv]
lack  [læk]
beneath  [bɪˈniːθ]
beside  [bɪˈsaɪd]
black  [blæk]
incident  [ˈɪnsɪdənt]
limited  [ˈlɪmɪtɪd]
proud  [praʊd]
flow  [floʊ]
faculty  [ˈfæk(ə)lti]
increased  [ɪnˈkriːst]
waste  [weɪst]
merely  [ˈmɪrli]
mass  [mæs]
emphasize  [ˈemfəsaɪz]
experiment  [ɪkˈsperɪmənt]
definitely  [ˈdefɪnətli]
bomb  [bɑːm]
enormous  [ɪˈnɔːrməs]
tone  [toʊn]
liberal  [ˈlɪbərəl]
massive  [ˈmæsɪv]
engineer  [ˌendʒɪˈnɪr]
wheel  [wiːl]
